question,context,ideal_answer,answer,blue score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score
Rewrite the following sentence with more accurate grammar.,She done a lot of good,She has done a lot of good.,,0.0,0.0,0.0,0.10364315,34,0.0,-0.8380323648452759,0.0
Improve the following sentence by using a better transition.,We did not have enough time so we had to leave.,"Given that we had limited time, we had to leave.",,0.0,0.0,0.0,0.15233815,27,0.0,-0.9558049440383911,0.0
Determine which statement is true.,"America is the third largest country in the world
Australia is the second largest country in the world",Australia is the second largest country in the world.,[CLS] determine which,0.0,0.0,0.0,0.11653583,37,9.999999999999998,-1.3091219663619995,0.0
Re-write this sentence using an active voice.,The boat was crashed by the captain.,The captain crashed the boat.,voice.,1.1640469867513693e-231,0.20833333333333334,0.0,0.08521317,30,6.0,-1.3630428314208984,0.0
Check if the following phrase is a well-formed formula,∃x P(x),"Yes, the phrase is a well-formed formula. It is a statement that there exists an x such that P(x) holds.",[CLS],0.0,0.0,0.0,0.015171483,31,21.000000000000007,-1.3460509777069092,0.0
Change the given verb to its past perfect form.,take,taken,change the given verb,0.0,0.0,0.0,0.26855034,27,2.0,-1.402670979499817,0.0
"Using the provided information, build a SQL query to extract the top 10 highest valued orders.","Table Name: Orders
Columns: ID (primary key), value, customer_id, date","SELECT TOP 10 *
FROM Orders
ORDER BY value DESC;",,0.0,0.0,0.0,-0.007404955,20,0.0,-0.9237052202224731,0.0
Create a listicle using the given data.,"Topic: Tips for Financial Planning
List:
1. Set a budget
2. Track your spending
3. Invest in stocks
4. Pay off debts","10 Tips For Financial Planning

1. Set a budget and stick to it. Knowing how much money you have coming in and out each month is the key to creating a sound financial plan.

2. Track your spending. Write down all of your spending so that you can get an accurate idea of where your money is going.

3. Invest in stocks. Investing in stocks is a great way to grow your money over the long term.

4. Pay off debts. Get rid of high-interest rate debt as soon as possible.

5. Make a savings plan. Setting aside a portion of your income every month is key to creating financial stability.

6. Stay on top of credit scores. Monitor your credit score to make sure you're getting the best deals on financial products.

7. Research tax credits and deductions. Knowing about the various tax incentives that are available can help you save money on income taxes.

8. Protect your assets. Invest in insurance for items such as your home, cars, and health.

9. Invest in retirement accounts. Retirement accounts are important for creating long-term financial security.

10. Seek expert advice. Financial advisors can help you make the most of your money and prepare for the future.",,0.0,0.0,0.0,0.006923929,31,0.0,-0.8119316101074219,0.0
Answer this math problem.,12/8,1.5,[CLS] answer this math problem. [SEP] 12 /,0.0,0.0,0.0,0.30362812,27,2.0,-1.3154010772705078,0.0
Summarize the given article in 1-2 sentences.,The recent Arctic temperature increase highlights the effects of climate change on the sensitive Arctic environment.,"The Arctic region is experiencing unprecedented higher temperatures, which is an indication of the effects of climate change on the sensitive polar environment.",[SEP] the recent arctic temperature increase highlights the effects of climate change on the sensitive arctic environment. [SEP],0.2981792160679168,0.5796973961998593,0.5853658536585366,0.8522729,19,20.09310845470687,-0.09131540358066559,0.47058823529411764
Provide a summary for the passage given below.,"Artificial intelligence (AI) is a broad field that seeks to mimic or augment human capabilities through information processing technology and algorithms. AI has been an area of study since the 1950s, but has gained popular attention in recent years due to vast improvements in processing power. While some fear existential threats such as a Terminator-like hypothetical AI takeover, most of the practical applications of AI are in mundane areas such as image recognition, natural language processing, and task automation. AI is used to improve or automate mundane tasks, quickly identify patterns, and predict future events.","AI is a field of study that aims to replicate or enhance human abilities through technology. Its applications are mostly mundane and revolve around task automation, pattern recognition and prediction of future events. However, there is a fear of possible existential threats due to its increasing capabilities.","[SEP] artificial intelligence ( ai ) is a broad field that seeks to mimic or augment human capabilities through information processing technology and algorithms. ai has been an area of study since the 1950s, but has gained popular attention in recent",4.864734572335787e-155,0.2058687773522976,0.3255813953488372,0.8375466,31,43.42924223438167,0.10354478657245636,0.32098765432098764
Choose the most appropriate answer,"What is the most abundant gas in Earth's atmosphere?

A. Methane
B. Oxygen
C. Nitrogen
D. Hydrogen",C. Nitrogen,choose the most appropriate answer [SEP] what is the most abundant gas in earth's atmosphere? a. methane b. oxygen c. nitrogen d. hydrogen [SEP],0.0,0.06893382352941176,0.14814814814814814,0.556578,22,3.0000000000000013,-1.0313355922698975,0.17391304347826084
Create an analogy using the following word,cheetah,"He was as fast as a cheetah, darting around the track with graceful yet powerful movements.",[CLS],0.0,0.0,0.0,0.07913413,34,16.999999999999996,-1.504515528678894,0.0
Provide a topic for the following passage,"The vegan diet is becoming increasingly popular, as an increasing number of people are making the switch for environmental, ethical, and health reasons. People on a vegan diet consume only plant-based foods, such as fruits, vegetables, grains, nuts, and seeds. Veganism has also become popular with athletes, as many have discovered that a rich and varied vegan diet can help them reach their fitness goals.",The Benefits of a Vegan Diet,"for the following passage [SEP] the vegan diet is becoming increasingly popular, as an increasing number of people are making the switch for environmental, ethical, and health reasons. people on a vegan diet",5.657288926663487e-234,0.12492997198879552,0.25641025641025644,0.64263344,33,6.934907278591053,-1.09599769115448,0.1875
Perform a sentiment analysis on the given sentence.,I love this movie!,Positive sentiment.,analysis on the,0.0,0.0,0.0,0.19988802,26,3.0000000000000004,-1.018143653869629,0.0
Select the most appropriate word from the list.,"joyful, joyous, festive",joyous,"list. [SEP] joyful, joyous, fest",2.2483192889629532e-235,0.054945054945054944,0.33333333333333337,0.49614596,21,2.0,-0.7282684445381165,0.33333333333333337
Choose the correct answer.,"Who wrote the novel ""Jane Eyre""?",Charlotte Bronte,[SEP],0.0,0.0,0.0,0.13646041,30,3.0000000000000004,-1.450318455696106,0.0
Determine a price point for the item.,Widget,"The price point for the widget should be $19.99. This is an affordable and competitive price point, while also giving the company a good margin.",,0.0,0.0,0.0,-0.0068800477,35,0.0,-0.8653370141983032,0.0
List five of the main characters in the movie.,Titanic,"The main characters in the movie Titanic include Jack Dawson, Rose DeWitt Bukater, Caledon 'Cal' Hockley, Ruth DeWitt Bukater, and Fabrizio De Rossi.",five of the main characters,3.677591797349584e-155,0.3453453453453454,0.21428571428571427,0.33860344,18,23.394900276182266,-1.1319187879562378,0.16
Generate 2 sentence of a conversation that takes place between the manager and the customer.,Noinput,"Manager: ""Good morning, how can I help you?""
Customer: ""I'm looking for a new laptop. Do you have any recommendations?""",. [SEP] noinput,7.720899511627474e-232,0.06578947368421054,0.0,0.16204573,33,21.000000000000007,-1.309812068939209,0.0
Mention two ways in which a business can use Artificial Intelligence.,Noinput,"Businesses can use artificial intelligence to automate data-driven activities such as customer service tasks and core operational activities like supply chain management. AI can also help businesses better leverage customer data and make personalized recommendations, allowing companies to increase revenue and improve customer loyalty.",,0.0,0.0,0.0,-0.054656625,29,0.0,-0.7878312468528748,0.0
Tell a story about a girl who travels to the moon.,Noinput,"Once upon a time, there was a girl named Sarah who dreamed of going to the moon. She studied astronomy and spent her evenings looking up into the night sky, wondering how she could make her dream a reality. One day, an opportunity arose, and Sarah was able to embark on a spaceship journey to the moon. When she got there, she was amazed by the bright stars and craters she saw—a sight she was sure she would never forget. She decided to take a piece of the moon back with her as a reminder of her incredible journey.",,0.0,0.0,0.0,0.06063297,32,0.0,-0.8989378213882446,0.0
Summarize a given poem in max 5 sentences.,"The poem ""The Sun Rising"" by John Donne

Noinput","John Donne's poem ""The Sun Rising"" presents an argument to the sun that its light is not needed because the poet and his beloved are content in their love even when the sunrise is not visible. He claims that he and his beloved form the ""world"" and that their love will continue despite the sun's release of its light. The poem ends with words of assurance to the sun that their love will last forever and that their world will remain unchanged even if the sun withdraws its light.",,0.0,0.0,0.0,0.03881494,31,0.0,-0.9392671585083008,0.0
Give a brief answer to the following question.,What is the difference between a Ponzi scheme and a pyramid scheme?,"The main difference between a Ponzi scheme and a pyramid scheme is in the way they operate. Ponzi schemes rely on a single entity or person to fool people out of their money, while pyramid schemes rely on participants recruiting new members to increase their earnings. In a Ponzi scheme, the fraudster will solicit funds from new investors and use the money to pay back earlier investors; in a pyramid scheme, members receive money from new participants recruited below them, resulting in a chain of recruitment.",brief answer to the following question. [SEP] what is the difference between a ponzi scheme and a pyramid,0.03960117945196404,0.29665753227085884,0.23076923076923078,0.8861506,29,51.34699263376345,-1.01011323928833,0.17777777777777778
Describe how technology has changed the way we work.,Noinput,"Technology has drastically changed the way we work, allowing us to be more productive and efficient. The internet, for example, has made research, communication and collaboration easier than ever before. Automation technologies have made it possible to streamline and optimize workflows, resulting in higher quality work and improved customer service. Cloud computing has revolutionized data storage and access, allowing businesses to access their data from anywhere. Finally, AI and machine learning have allowed businesses to make data-driven decisions and predictions much more quickly than ever before.",,0.0,0.0,0.0,0.05863303,28,0.0,-0.7086983919143677,0.0
Generate a valid opening statement for a speech about the importance of voting.,Noinput,"Good morning everyone! Today I'm here to talk to you about the importance of voting. I'm sure you have all heard the phrase ""your vote counts"" - and this is true. Even if it doesn't seem like it, your vote can have a drastic effect on how our election turns out. So, I urge all of you to use your voice and make your vote count!",,0.0,0.0,0.0,0.08734175,22,0.0,-0.9655911922454834,0.0
Create a to-do list for a given holiday.,Thanksgiving,"- Set a date for Thanksgiving dinner 
- Start shopping for ingredients
- Send out invites
- Plan activities
- Start decorating for the occasion 
- Research recipes 
- Plan menu 
- Buy wine 
- Set up tables and chairs
- Purchase paper plates and cups 
- Make a grocery list 
- Ask family to bring a dish
- Set up bar area
- Create a seating chart 
- Make a timeline of events 
- Make a post-dinner cleanup plan 
- Clean the house
- Prepare food 
- Have fun!",[CLS],0.0,0.0,0.0,-0.016938196,27,91.0,-1.0956984758377075,0.0
Find a sentence that can be used to explain why someone should not use a particular product.,Laser Hair Removal,"Although laser hair removal might seem like a quick and easy way to get rid of unwanted body hair, it can cause skin damage and should always be used with caution.",product. [SEP] laser hair removal,1.5270462878358646e-78,0.1904761904761905,0.16666666666666666,0.675344,26,31.396194264808123,-1.0213274955749512,0.17142857142857143
Generate an opening statement for a speech about the effects of climate change.,Noinput,"Good morning everyone! Today I'm here to talk to you about the effects of climate change and how it will impact not only our environment and health, but also our society, our economy and our future. Climate change is an ever-present and growing threat to our planet, and as citizens of the world, it is essential that we take action to reduce our environmental impact.",,0.0,0.0,0.0,0.056056134,31,0.0,-0.888106107711792,0.0
Find a sentence that could be used to close a speech about the causes of global warming.,Noinput,"We all have a part to play in addressing the causes of global warming, so I urge each and every one of us to take part in the fight against climate change.",[CLS] find a sentence that could be,7.544641259221007e-232,0.043478260869565216,0.05128205128205128,0.09004239,30,32.855251994825856,-1.2297160625457764,0.0
Give an example of how technology is used in education.,Noinput,"Technology has transformed education in many ways, such as providing students with better access to learning materials, allowing educators to tailor lessons to the individual needs of each student, and enabling students to collaborate with other students more easily. For example, online course management software can be used to organize course content, provide assignments and grading opportunities, and facilitate communication with students.",an example,6.298451848768724e-232,0.05681818181818182,0.03125,0.0638406,31,63.000000000000014,-0.7283391952514648,0.03225806451612903
Generate two sentences of a conversation that takes place between two shop owners.,Noinput,"Shop Owner 1: ""How has business been going since we reopened?""
Shop Owner 2: ""It's been going better than expected. We've seen a lot of customers coming back and have had a steady stream of new customers as well.""",,0.0,0.0,0.0,0.17216772,30,0.0,-0.9421896934509277,0.0
Generate a question based on the following input.,Humans are the dominant species on Earth.,What are the reasons behind humans being the dominant species on Earth?,based on the following input. [SEP] humans are,1.3568676344828118e-231,0.22321428571428567,0.4,0.43465686,29,11.453376828672814,-0.9055396318435669,0.3529411764705882
"Given a person's name, provide their job title",Emmeline Pankhurst,Emmeline Pankhurst is remembered as a leader of the British suffragette movement and an advocate for women's rights.,,0.0,0.0,0.0,0.06479802,28,0.0,-1.0060454607009888,0.0
"Given a set of lyrics, explain the meanings implied by them.",The night is young and we could go wild,"The lyrics imply that there is potential for freedom, excitement and adventure in the night ahead. This suggests that the speaker and their companion are young and open to experiencing new possibilities.",[CLS],0.0,0.0,0.0,0.1678144,34,33.0,-1.3110555410385132,0.0
Improve the following sentence by making necessary changes.,John and his wife are best friends.,John and his wife are best friends and enjoy spending time together.,following sentence by making necessary changes. [SEP] john and his wife are best,0.24029210317584693,0.4042636162745352,0.48000000000000004,0.5998279,24,11.951355307197602,-0.7436846494674683,0.48000000000000004
Remove any mistakes in the following sentence.,Everyone whoing to play must sign their name.,Everyone who wants to play must sign their name.,,0.0,0.0,0.0,0.21407057,27,0.0,-0.9757866859436035,0.0
Categorize the following items as either furniture or kitchen items.,"Chair, Knife, Fork","Furniture, Kitchen item, Kitchen item",,0.0,0.0,0.0,0.13552812,33,0.0,-0.9273567199707031,0.0
Compare and contrast the following two items.,Table and Chair,"A table and a chair are both pieces of furniture, but they have different functions. A table is typically used for dining or work purposes, while a chair is something people sit in. Tables tend to be much larger than chairs and have flat surfaces, whereas chairs generally have an upright design and are made for one person to sit.",[CLS] compare and contrast the following two items. [SEP] table,8.412065649527267e-232,0.09950248756218906,0.05714285714285715,0.28285372,29,50.82518791795038,-1.2216681241989136,0.0625
Provide a cause-and-effect explanation for the following statement.,The pandemic has led to a significant increase in online shopping.,"The pandemic caused people to stay at home in order to avoid potential exposure to the virus, thus leading to an increase in online shopping. With more people shopping online, the demand for online purchases went up and businesses responded by offering more online options. As a result, online activity has increased significantly.",,0.0,0.0,0.0,0.11263999,29,0.0,-0.7890455722808838,0.0
Rewrite the following sentence by replacing all the words with synonyms to make the sentence clearer.,Quite a few people alleged that the criminal had committed a serious offence,Several individuals asserted that the perpetrator had perpetrated a grave transgression.,[CLS] rewrite the following sentence by replacing all the words with synonyms to make the sentence clearer. [SEP] quite a few people alleged that the criminal,1.2776467690986844e-155,0.12783505154639174,0.16216216216216214,0.40262705,32,11.76144843646187,-0.7752656936645508,0.06666666666666667
Read the following story and decide if it is fiction or non-fiction.,A farmer grows a mysterious flower overnight. The farmer is amazed and decides to sell the plant in the market. People from far and wide visit the farmer's market to get a glimpse of the miraculous flower.,Fiction.,decide if,0.0,0.0,0.0,0.20213847,39,2.0,-1.4056739807128906,0.0
Rewrite the following sentence by adding one adjective.,The student was able to understand the difficult concepts.,The student was able to grasp the arduous concepts.,,0.0,0.0,0.0,0.056683842,31,0.0,-0.8957417011260986,0.0
Analyze the following political statement and determine its accuracy.,Many people agree that the current president has been a successful leader.,The accuracy of the statement depends on one's political views. Some people may agree with it while others may not.,,0.0,0.0,0.0,0.008211467,29,0.0,-0.9211581945419312,0.0
Write a one-sentence summary of the following news article.,The extraordinary measures taken by the government to control the spread of Covid-19 have significantly decreased the number of daily infections in the past month.,The implementation of strict public health policies has effectively curtailed the prevalence of Covid-19 cases.,,0.0,0.0,0.0,0.025958247,35,0.0,-0.9129948616027832,0.0
Edit the following sentence to make the punctuation and capitalization more accurate.,the baker made the best cookies ive ever eaten,The baker made the best cookies I've ever eaten.,capitalization more accurate. [SEP] the baker made the best cookies ive ever eaten [SEP],0.20161413772504738,0.48534798534798534,0.6666666666666666,0.8093955,12,9.486832980505142,-0.923171877861023,0.7368421052631579
Suggest a title for the following blog post.,This blog post discusses how technology has changed the way people communicate over the last decade.,"""The Impact of Technology on Communication in the Last Decade""",,0.0,0.0,0.0,0.12138775,31,0.0,-0.9488916397094727,0.0
Rewrite this sentence by removing the cliche.,"She was full of energy, as if she had drunk a liter of coffee.","She was brimming with enthusiasm, as if she had received a boost of energy.",,0.0,0.0,0.0,0.109553374,32,0.0,-1.0050538778305054,0.0
Price the following item.,"A limited edition, handmade wooden toy truck","The limited edition, handmade wooden toy truck is priced at $150.","following item. [SEP] a limited edition, hand",3.00466076572634e-78,0.39469026548672564,0.2222222222222222,0.34690094,18,11.705352974507472,-0.7526236772537231,0.25
State the conclusion based on the passage.,The Institute for Economic Footings has predicted that the global economy will start to recover in the second half of 2021.,The conclusion based on the passage is that the global economy is expected to begin to improve during the second half of 2021.,has predicted that the global economy will start to recover in the second half of 2021. [SEP],0.30166728533047465,0.5836397058823529,0.5,0.8454547,19,19.746907462932434,0.37282365560531616,0.47058823529411764
Identify the right type of tense used in the sentence.,I am cooking dinner,present continuous tense,,0.0,0.0,0.0,0.18013714,30,0.0,-0.7132604122161865,0.0
Categorize the following sentence as either factual or opinion-based.,Math is a difficult subject,Opinion-based,,0.0,0.0,0.0,0.16331312,36,0.0,-0.6462076306343079,0.0
Classify the following tweet topic,"""I'm so excited to visit my family in India!""",Family,,0.0,0.0,0.0,0.29599476,32,0.0,0.391024649143219,0.0
Generate a suitable slogan for the following company,ACME Corporation is a logistics company with a focus on shipping vehicles and other international freight.,"""Let ACME take you around the world!""",,0.0,0.0,0.0,0.13326123,29,0.0,-1.1917444467544556,0.0
Categorize the following tweet content,"""I love reading books! Good books make my life so much better""",Leisure,,0.0,0.0,0.0,0.25255412,35,0.0,0.3493512272834778,0.0
Design a suitable query for the following question,What are the five most important elements in a website homepage?,SELECT TOP 5 Elements FROM Homepages ORDER BY importance DESC;,,0.0,0.0,0.0,0.038446654,33,0.0,-0.892383337020874,0.0
Compose a story based on the following facts,"Facts: 
- There is a family who have lived in the countryside for generations.
- They are so far isolated that they had no clue about the world outside of their small village.
- One day a traveler visited them and introduced them to technologies, books and new ideas.","In the small and isolated village, there lived a family. This family had lived in the countryside for generations and they had no knowledge of the world outside their boundaries. But one day, a traveler arrived with a few books and gadgets. He introduced them to technologies far superior than anything they had ever witnessed before. He opened their eyes to layers of knowledge from books and ideas that made them question their world. It was this visitor who introduced them to the world outside and showed them the power of progress.",,0.0,0.0,0.0,0.06399912,32,0.0,-0.7619751691818237,0.0
Generate an appropriate follow-up question for the following statement,"""I like to go hiking on the weekends""",Where do you usually go hiking?,,0.0,0.0,0.0,0.025976667,22,0.0,-1.0073134899139404,0.0
Convert the money value to USD.,2.30 euros,2.30 euros is equivalent to $2.76 USD.,,0.0,0.0,0.0,0.011205468,31,0.0,-0.7393386363983154,0.0
Generate a metaphor that describes the situation.,A hardworking student trying to finish an assignment on time.,The student is like a marathon runner pushing towards the finish line.,assignment on,0.0,0.0,0.0,0.20463903,37,13.0,-1.3329042196273804,0.0
Specify the filename for the following document.,The document contains instructions on how to set up a home Wi-Fi network.,WiFi_setup_instructions.doc,. [SEP] the document contains instructions on how to set up a home wi - fi network.,0.0,0.0,0.10526315789473685,0.74852353,27,2.0,-1.1281883716583252,0.0
Construct a concise summary of the following article.,"The article is about the recent findings on the impacts of climate change, including rising temperatures and elevated sea levels, and risk associated with it.","Recent studies have revealed that climate change is advancing, with increased global temperatures and sea levels, resulting in more extreme weather and increased risks associated with natural disasters.",,0.0,0.0,0.0,-0.041523486,27,0.0,-0.868614912033081,0.0
Create a table that illustrates the results of a survey.,"The survey asked people to rate a new website on a scale of 1-5, with 1 being poor and 5 being excellent.","| Rating | Percentage |
| ------ | ---------- |
| 1      | 10%        |
| 2      | 20%        |
| 3      | 30%        |
| 4      | 25%        |
| 5      | 15%        |",,0.0,0.0,0.0,-0.0059341677,27,0.0,-0.8652175664901733,0.0
"Classify each sentence as either declarative, interrogative, imperative, or exclamatory.",Why would you do that?,Interrogative.,"##larative, interrogative, imperative, or exclamatory. [SEP] why",2.3032267309856755e-234,0.072992700729927,0.25,0.3089839,23,2.0,-0.8797304630279541,0.25
Write a soliloquy for a character in the following scene,"The scene is set in a medieval castle, where a knight is preparing for battle.","Oh mighty sword, thou of renowned strength, grant me the courage and will to battle with valor. Let me face tomorrow's fight fearlessly, and with grace may I accept whatever outcome comes.","##quy for a character in the following scene [SEP] the scene is set in a medieval castle, where a knight is preparing for battle.",1.0377133938315695e-231,0.08116883116883118,0.07017543859649122,0.32274202,28,32.91548634436771,-0.9933654069900513,0.039999999999999994
Construct a list containing at least ten items.,Items you need to pack for a camping trip.,"1. Tent
2. Sleeping bag
3. Flashlight
4. Camping stove
5. Cutlery and utensils
6. Water container
7. Matches or lighter
8. Compass
9. First aid kit
10. Food and snacks
11. Extra clothes
12. Personal care items.",,0.0,0.0,0.0,0.034858763,20,0.0,-0.6764733791351318,0.0
Change the underlined word to make the sentence correct.,The tomatoes are ripe for pick.,The tomatoes are ripe for picking.,[CLS] change the underlined word to make the,0.0,0.05154639175257732,0.14285714285714288,-0.010767733,35,7.000000000000003,-1.3795161247253418,0.0
Generate a new ending to the story.,"Once upon a time, there was a young prince who wanted to explore the world. He embarked on a journey full of adventure and discovery.","After many months of exploring strange lands, seeing wondrous sights, and meeting unusual people, the prince finally returned home. He was enriched by the experiences he had, and while he did not find what he was looking for, he found something much more valuable: a deeper appreciation for the beauty of the world and the value of companionship.",,0.0,0.0,0.0,0.11779608,31,0.0,-0.8616769313812256,0.0
Write a math equation to find the geometric mean between two numbers,10 and 15,The geometric mean of 10 and 15 is \(\sqrt{10\times 15}=12.25\).,a math equation to find the geometric mean between two numbers [SEP] 10 and 15 [SEP],2.5712459929694603e-78,0.2840909090909091,0.39999999999999997,0.795748,23,10.67720229277173,-1.0117881298065186,0.43478260869565216
Classify this sentence as either a declarative or interrogative,Do you agree,Interrogative.,,0.0,0.0,0.0,0.2593394,26,0.0,-0.3279842734336853,0.0
"Reverse this array: [1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[5, 4, 3, 2, 1]",,0.0,0.0,0.0,0.118938625,29,0.0,-0.7121487259864807,0.0
Choose the right antonym,Discreet/Flaunt,"Discreet/Flaunt 
Antonym: Discreet/Show off.",antonym [SEP] discreet / flau,0.0,0.07246376811594203,0.4,0.83947796,22,4.999999999999999,-0.23041079938411713,0.25
Rewrite this sentence in the present tense,She had cooked,She cooks.,,0.0,0.0,0.0,0.14358895,39,0.0,-0.4579041600227356,0.0
Categorize the following items into vegetables and fruits.,"Orange, Carrots, Onion, Bananas","Vegetables: Carrots, Onion
Fruits: Orange, Bananas",[CLS] cat,0.0,0.0,0.0,0.06524454,30,7.0,-1.2664777040481567,0.0
Calculate the total cost of the following items.,"3 laptop - $1100 each, 2 monitors - $200 each",The total cost of the laptops and monitors is $3900.,each,0.0,0.0,0.0,0.081171975,24,11.0,-1.139454960823059,0.0
Create a chart displaying the following data.,"Duration of sleep in hours:
Person A: 6
Person B: 7
Person C: 8","Person | Duration of Sleep (in hours)
------|--------------------------
A     | 6 
B     | 7 
C     | 8",,0.0,0.0,0.0,-0.07756453,33,0.0,-0.8973031044006348,0.0
Tell me an alternative joke that is similar in spirit to the following.,"Q: What do you call an alligator in a vest?
A: An investigator.","Q: What do you call a bear with no teeth?
A: A gummy bear.",,0.0,0.0,0.0,0.12457329,35,0.0,-1.1609326601028442,0.0
"Cut the following sentence into two, keeping the meaning intact.",He came out of the house and suddenly remembered he had forgotten to bring his wallet.,He came out of the house and suddenly remembered. He had forgotten to bring his wallet.,,0.0,0.0,0.0,0.11827125,32,0.0,-0.9832596778869629,0.0
Generate a list of items related to the topic given.,Scuba diving,"Items related to scuba diving:
- Wet Suit 
- Fins 
- Snorkel 
- BCD (Buoyancy Control Device) 
- Mask 
- Regulator 
- Dive Computer 
- Dive Knife or Cutting Tool 
- Weight Belt or Jacket 
- Under Water Flashlight 
- Cylinder and Air Tank 
- Torch 
- Dive Log Book 
- Compass",topic given. [SEP],0.0,0.0,0.0,0.10656056,30,53.000000000000014,-1.2633321285247803,0.0
Structures the following instructions into a step by step guide.,Initiate a conversation with someone on LinkedIn for job related advice.,"Step by Step Guide for initiating a conversation with someone on LinkedIn for job related advice:

Step 1: Identify who you want to reach out to - Think about the career advice you need, and search for LinkedIn profiles of people who could provide that advice.

Step 2: Take a look at their profile - Read through the person’s profile to get to know them better – their background, credentials, the topics they’re interested in, and the types of conversations they’ve had in the past.

Step 3: Create an engaging message - Craft an engaging message that conveys your interest, explains why you’re reaching out and makes a request or asks a question.

Step 4: Send the message – Send the message and wait for a response.

Step 5: Follow up as needed – If you don’t get a response right away, follow up with a polite reminder and most times, you’ll get a response.",,0.0,0.0,0.0,0.013047498,29,0.0,-0.9699763059616089,0.0
Explain why the following statement is true.,A successful sales pitch should engage the potential buyer.,"A successful sales pitch should engage the potential buyer because engaging them helps build trust and rapport. When potential buyers are engaged, they are more likely to listen to the salesperson and understand the value and benefits offered by the product or service. An engaging sales pitch is also more likely to help the potential buyer come to a conclusion, as they are more likely to be actively participating in the conversation. Engaging potential buyers also helps salespeople gain insights on their potential customers and how to best tailor their pitch to their needs.",potential,5.761138600803475e-232,0.04587155963302753,0.021052631578947368,0.19721776,20,18.8,-0.811051070690155,0.023255813953488372
Generate a narrative for describing the following event.,A balloon ceremony,"It was an emotional event as hundreds of people gathered to take part in a special balloon ceremony. It was a time to honor and recognize those who have gone before us and a time to celebrate the lives of those who are still here.

The sky was filled with brilliant colors as the air was filled with the sounds of laughter, tears, and joy. One-by-one, the crowd released balloons into the air bearing special messages to their loved ones.

The balloons carried the message of love and hope to the heavens above. People of all ages, from all walks of life, looked up to the sky with wonder and amazement. As the balloons disappeared in the distance, everyone there knew that a part of them were being carried away and will remain in the hearts and minds of their loved ones forever.

It was a beautiful reminder of the power of love and the ways in which it can help us connect with those are no longer with us. As the ceremony ended, everyone felt a renewed sense of hope and peace.",,0.0,0.0,0.0,0.123466685,29,0.0,-0.9171329736709595,0.0
Write a tweet about the following topic.,Motivation,Let's all tap into our inner motivation & power this week! #MotivationMonday  #MondayMotivation #BeMotivated,.,0.0,0.0,0.0,0.14960189,31,15.000000000000002,-0.9670151472091675,0.0
"Categorize the following sentence as a statement, a question or an exclamation.",Let's get to it.,Statement.,"categorize the following sentence as a statement, a question or an exclama",0.0,0.04201680672268908,0.15384615384615385,0.403022,24,2.0,-1.0623478889465332,0.2222222222222222
"Based on the following passage, determine the author’s attitude towards the idea that speed is the most important factor in production","The focus on speed in production today is often misguided. Technical proficiency and craftsmanship can take a backseat to the urgency to finish a project quickly. This can be detrimental to the quality of the product, as the diligent worker is not going to be given the time to fix any mistakes that might arise from haste.","The author holds a negative attitude towards the idea that speed is the most important factor in production. They argue that the focus on speed often comes at the expense of technical proficiency and craftsmanship, resulting in lower-quality products. Additionally, the author implies that speeding up production can be detrimental, as the worker does not have sufficient time to fix any mistakes. This indicates that the author believes speed should not be prioritized over quality and craftsmanship.",,0.0,0.0,0.0,0.107652344,28,0.0,-0.8445729613304138,0.0
"Given a list of six grocery items, select the two most expensive items","eggs, flour, milk, bananas, cherries, coffee",Coffee and cherries are the two most expensive items in the list.,,0.0,0.0,0.0,0.013555065,37,0.0,-0.9057862758636475,0.0
"Based on the following philosophy passage, determine the author’s primary argument","If we are to believe in our most fundamental capacities for understanding the world, we must first pause to look inward and discover our own subjective values and beliefs. Only by recognizing our own subjective universe can we hope to progress forward to a more objective understanding.","The author's primary argument is that in order to gain a more objective understanding of the world, we must first look inward to recognize our own subjective values and beliefs. They argue that only by understanding our own cognitive biases and tendencies can we hope to gain a true and unbiased understanding of the world.",first pause to,7.817228731469945e-232,0.11627906976744187,0.06779661016949153,0.117254265,32,38.36460376376198,-0.8990243673324585,0.07547169811320754
"Given a list of four CEOs, choose the one who had the most successful tenure","Mark Zuckerberg, Bill Gates, Elon Musk, Jeff Bezos","Jeff Bezos had the most successful tenure as a CEO, as he has increased Amazon's market value from $2.5 billion in 1997 to $1.6 trillion in 20","list of four ceos, choose the one",9.181748633447778e-232,0.24811218985976266,0.10810810810810811,0.5182195,35,27.85490665704107,-0.8313648104667664,0.0
Compute the area of triangle from the given 3 sides,"side1=3, side2=4, side3=5",6,compute the area of triangle from the,0.0,0.0,0.0,0.15143998,36,2.0,-1.3590821027755737,0.0
Prepare a statement of cash flows for the given business.,"Net income: $ 7,500
Cash flow from operations: $1,200
Cash flow from investing: $2,100
Cash flow from financing: $3,200","Cash flow statement:
Net increase in cash: $7,500
Cash flow from operations: $1,200
Cash flow from investing: $2,100
Cash flow from financing: $3,200
Net cash flow: $6,500",of cash flows for the,7.337741777064293e-232,0.22590361445783136,0.10810810810810811,0.61973965,22,27.797080059272407,-0.901674747467041,0.06451612903225806
