input,instruction,output
"context: Mickey Mouse is an animated cartoon character co-created in 1928 by Walt Disney and Ub Iwerks. The longtime mascot of The Walt Disney Company, Mickey is an anthropomorphic mouse who typically wears red shorts, large yellow shoes, and white gloves. Taking inspiration from silent film personalities such as Charlie Chaplin's Tramp, Mickey is traditionally characterized as a sympathetic underdog who gets by on pluck and ingenuity. The character’s status as a small mouse is personified through his diminutive stature and falsetto voice, the latter of which was originally provided by Disney. Mickey is one of the world's most recognizable and universally acclaimed fictional characters of all time.\n question: Who is Micky Mouse?",Answer the question based on the context below. ,"Mickey Mouse is an animated cartoon character co-created in 1928 by Walt Disney and Ub Iwerks. The longtime mascot of The Walt Disney Company, Mickey is an anthropomorphic mouse who typically wears red shorts, large yellow shoes, and white gloves. Taking inspiration from silent film personalities such as Charlie Chaplin's Tramp, Mickey is traditionally characterized as a sympathetic underdog who gets by on pluck and ingenuity. Mickey is one of the world's most recognizable and universally acclaimed fictional characters of all time. Mickey generally appears alongside his girlfriend Minnie Mouse, his pet dog Pluto, and his friends Donald Duck and Goofy."
"context: In the Yoma tractate of the Babylonian Talmud the name Gomer is rendered as Germania, which elsewhere in rabbinical literature was identified with Germanikia in northwestern Syria, but later became associated with Germania. Ashkenaz is linked to Scandza/Scanzia, viewed as the cradle of Germanic tribes, as early as a 6th-century gloss to the Historia Ecclesiastica of Eusebius. In the 10th-century History of Armenia of Yovhannes Drasxanakertc'i (1.15) Ashkenaz was associated with Armenia, as it was occasionally in Jewish usage, where its denotation extended at times to Adiabene, Khazaria, Crimea and areas to the east. His contemporary Saadia Gaon identified Ashkenaz with the Saquliba or Slavic territories, and such usage covered also the lands of tribes neighboring the Slavs, and Eastern and Central Europe. In modern times, Samuel Krauss identified the Biblical ""Ashkenaz"" with Khazaria.\n question: In which tractate of the Babylonian Talmud is the name Gomer given as Germania?",Answer the question based on the context below. ,Yoma
"context: The Vietnam War (also known by other names) was a conflict in Vietnam, Laos, and Cambodia from 1 November 1955 to the fall of Saigon on 30 April 1975. It was the second of the Indochina Wars and was officially fought between North Vietnam and South Vietnam\n question: When did the Vietnam War Start?",Answer the question based on the context below. ,The Vietnam War started on 1 November 1955
"context: The America's Healthy Future Act () was a law proposed by Democratic Senator Max Baucus of Montana, who chairs the Senate Finance Committee, on September 16, 2009.[1][2][3] It is also colloquially known as the Baucus Health Bill,[4] the Baucus Health Plan,[5] or BaucusCare.[6] Baucus initially publicly released a 223-page summary of the proposal.[2] It started going through the Senate mark-up process on September 22.[7] That amendment process finished Oct. 2, and was passed by the Finance Committee on October 13 by a 14 to 9 vote,.[8][9] An October CBO report stated that enacting the proposal would, on net, end up reducing the federal deficit by $81 billion over the 2010–2019 period.[10]\n question: When was the America's Healthy Future Act first proposed?",Answer the question based on the context below. ,"September 16, 2009"
"context: Rizal first studied under Justiniano Aquino Cruz in Binan, Laguna, before he was sent to Manila. As to his father's request, he took the entrance examination in Colegio de San Juan de Letran but he then enrolled at the Ateneo Municipal de Manila and graduated as one of the nine students in his class declared sobresaliente or outstanding. He continued his education at the Ateneo Municipal de Manila to obtain a land surveyor and assessor's degree, and at the same time at the University of Santo Tomas where he did take up a preparatory course in law. Upon learning that his mother was going blind, he decided to switch to medicine at the medical school of Santo Tomas specializing later in ophthalmology.  Without his parents' knowledge and consent, but secretly supported by his brother Paciano, he traveled alone to Madrid, Spain in May 1882 and studied medicine at the Universidad Central de Madrid where he earned the degree, Licentiate in Medicine. He also attended medical lectures at the University of Paris and the University of Heidelberg. In Berlin, he was inducted as a member of the Berlin Ethnological Society and the Berlin Anthropological Society under the patronage of the famous pathologist Rudolf Virchow. Following custom, he delivered an address in German in April 1887 before the Anthropological Society on the orthography and structure of the Tagalog language. He left Heidelberg a poem, ""A las flores del Heidelberg"", which was both an evocation and a prayer for the welfare of his native land and the unification of common values between East and West.  At Heidelberg, the 25-year-old Rizal, completed in 1887 his eye specialization under the renowned professor, Otto Becker. There he used the newly invented ophthalmoscope (invented by Hermann von Helmholtz) to later operate on his own mother's eye. From Heidelberg, Rizal wrote his parents: ""I spend half of the day in the study of German and the other half, in the diseases of the eye. Twice a week, I go to the bierbrauerie, or beerhall, to speak German with my student friends."" He lived in a Karlstrasse boarding house then moved to Ludwigsplatz. There, he met Reverend Karl Ullmer and stayed with them in Wilhelmsfeld, where he wrote the last few chapters of Noli Me Tangere.  Rizal was a polymath, skilled in both science and the arts. He painted, sketched, and made sculptures and woodcarving. He was a prolific poet, essayist, and novelist whose most famous works were his two novels, Noli Me Tangere and its sequel, El filibusterismo. These social commentaries during the Spanish colonization of the country formed the nucleus of literature that inspired peaceful reformists and armed revolutionaries alike. Rizal was also a polyglot, conversant in twenty-two languages.  Rizal's multifacetedness was described by his German friend, Dr. Adolf Bernhard Meyer, as ""stupendous."" Documented studies show him to be a polymath with the ability to master various skills and subjects. He was an ophthalmologist, sculptor, painter, educator, farmer, historian, playwright and journalist. Besides poetry and creative writing, he dabbled, with varying degrees of expertise, in architecture, cartography, economics, ethnology, anthropology, sociology, dramatics, martial arts, fencing and pistol shooting. He was also a Freemason, joining Acacia Lodge No. 9 during his time in Spain and becoming a Master Mason in 1884. CANNOTANSWER\n question: Who did he study under?",Answer the question based on the context below. ,"At Heidelberg, the 25-year-old Rizal, completed in 1887 his eye specialization under the renowned professor, Otto Becker."
"context: Jordan Carl Wheeler Davis (born March 30, 1988) is an American country pop singer and songwriter. He is signed to Universal Music Group Nashville's MCA Nashville division, for which he has released one album and two extended plays.

Jordan Carl Wheeler Davis was born in Shreveport, Louisiana, to mother Luwanna and father Ricky. He has a brother, Jacob Davis (who is also a country singer), and a sister, Jentry. His uncle, Stan Paul Davis, wrote Tracy Lawrence's hit singles ""Today's Lonely Fool"" and ""Better Man, Better Off"". He attended C. E. Byrd High School before graduating college with an Environmental Science degree from Louisiana State University.

After graduation, he moved to Nashville in 2012, and secured a recording contract with Universal Music Group Nashville in 2016.

Davis's debut single, ""Singles You Up"", came out in mid-2017. He wrote the song with Steven Dale Jones and Justin Ebach. It hit number one on the Billboard Country Airplay chart in April 2018. The corresponding debut album, Home State, was released on March 23, 2018. Paul DiGiovanni, guitarist for Boys Like Girls, produced the album. ""Take It from Me"" was released to country radio on May 7, 2018; it was the second single from the album. It reached number two on the Country Airplay chart in March 2019. The album's third single, ""Slow Dance in a Parking Lot"" released to country radio on April 22, 2019, and also topped Country Airplay.

In May 2020, Davis announced the release of his self-titled extended play, which was produced by Paul DiGiovanni. Davis said ""I can't tell y'all how pumped I am for y'all to hear these songs. I'm proud of this one."" The EP was preceded by the release of ""Cool Anymore"", ""Detours"", and ""Almost Maybes"". Davis is nominated for ACM Song of the Year and Single of the Year with ""Buy Dirt"" featuring Luke Bryan. They won Song of the Year. Davis co-wrote the single ""Broken Umbrella"" by Jojo Mason.\n question: Who is country singer Jordan Davis",Answer the question based on the context below. ,"Jordan Davis is a country music singer, born in Shreveport, Louisiana on March 30, 1988.    He is married and has 2 children with his wife Kristen O'Conner.  They have 2 children.   Jordan Davis was nominated and won for ACM Song of the year and Single of the year with ""Buy Dirt"" featuring Luke Bryan.   In 2023 he released ""Next Thing You Know"" which is considered a huge hit."
context: Bringing guns to school\n question: Predict a consequence of the following action.,Answer the question based on the context below. ,"Bringing guns to school could lead to serious consequences such as expulsion, suspension, criminal charges, or even death."
"context: ""Last Forever"" is the final episode of the CBS sitcom How I Met Your Mother. The episode serves as the 23rd and 24th episode of season nine, and the 207th and 208th episode overall; the episode's two parts are classified as two separate episodes. It aired on March 31, 2014.\n question: When did the final episode of How I Met Your Mother air?",Answer the question based on the context below. ,"March 31, 2014"
"context: At the level of the individual, there is a large literature, generally related to the work of Jacob Mincer, on how earnings are related to the schooling and other human capital. This work has motivated a large number of studies, but is also controversial. The chief controversies revolve around how to interpret the impact of schooling. Some students who have indicated a high potential for learning, by testing with a high intelligence quotient, may not achieve their full academic potential, due to financial difficulties.[citation needed]\n question: Literature on how earnings and how it relates to schooling was greatly influenced by who?",Answer the question based on the context below. ,Jacob Mincer
context: \n question: Generate a list of 5 questions about the stock market,Answer the question based on the context below. ,"1. How does the stock market work?
2. What are the key factors that move the stock market?
3. What are the risks associated with investing in the stock market?
4. When is the best time to invest in the stock market?
5. What are the various types of investments available in the stock market?"
"context: After World War II, due to Ukrainian collaborationism with the Axis powers in an attempt to gain independence, Moscow changed its policy towards repression of the Ukrainian language.\n question: After what war did Moscow begin to repress the Ukrainian language?",Answer the question based on the context below. ,World War II
"context: I will be there in five minutes.\n question: Given a statement, identify its tone.",Answer the question based on the context below. ,Assuring
"context: Sophie Dorothea arrived in St Petersburg that September, converted to the Russian Orthodox Church, and took the name Maria Feodorovna. She married Paul on 26 September 1776. In spite of her husband's difficult character, Maria Feodorovna made a success of her marriage. During the long reign of her mother-in-law, the Russian Empress, Catherine II, Maria and Paul were completely excluded from any political influence, as mother and son mistrusted each other. Maria Feodorovna sided with her husband and lost the initial affection Catherine II had for her. Paul and Maria were forced to live in isolation at Gatchina, but they were devoted to each other and had ten children including: Tsar Alexander I, Tsar Nicholas I of Russia, Grand Duchess Maria of Saxe-Weimar-Eisenach, Queen Catherine of Wurttemberg and Queen Anna Pavlovna of the Netherlands.\n question: When did Paul I and Sophie Dorothea get married?",Answer the question based on the context below. ,26 September 1776
context: \n question: Create an algorithm for playing tic tac toe in Python.,Answer the question based on the context below. ,"The algorithm should first create a 3-by-3 tic-tac-toe board. Then it should check the board for a winning move. If a player has the opportunity to make a winning move, the algorithm should take that move. Otherwise, it should examine the board to block the opponent from making a winning move. Finally, if no winning moves or blocks can be made, the algorithm should randomly select an available spot as the next move."
"context: Arista Nashville released Brooks & Dunn's second Greatest Hits package, The Greatest Hits Collection II, in October 2004. The album included singles from If You See Her, Steers & Stripes and Red Dirt Road, and the previously unreleased ""That's What It's All About"" and ""It's Getting Better All the Time"". Respectively, these cuts peaked at numbers two and one on the country music charts, as well as 38 and 56 on the Hot 100.  In August 2005, the duo released the single ""Play Something Country"". According to Dunn and co-writer Terry McBride, it was inspired by Gretchen Wilson, who was touring with Brooks & Dunn and Big & Rich on the Deuces Wild tour at the time. ""Play Something Country"" was the lead-off to their ninth studio album, Hillbilly Deluxe. Brooks & Dunn co-produced with Tony Brown, with further production from Mark Wright on ""My Heart's Not a Hotel"". A month after the album's release, ""Play Something Country"" became the duo's twentieth and final number one on Hot Country Songs, and went to number 37 on the Billboard Hot 100. The album's second single, ""Believe"", peaked at number eight, also winning the next year's Single of the Year and Song of the Year awards from the Country Music Association. After it was ""Building Bridges"", with guest vocals from Vince Gill and Sheryl Crow, which peaked at number four. Before the duo released this song, it had been released by co-writer Larry Willoughby, a cousin of country singer Rodney Crowell, and later by Nicolette Larson. The final release from Hillbilly Deluxe was the title track, which peaked at number sixteen on Hot Country Songs. Erlewine gave this album a positive review, saying that it was not ""quite as ambitious"" as the previous two albums, but ""just as satisfying"".  Brooks & Dunn began the Long Haul tour in mid-2006, which featured Sugarland and Jack Ingram as opening acts. Of this tour, Brooks said, ""They've got a lot of shows under their belt, they're really good at what they do, and they are great performers[...]We want everything about this show from opening act 'til the lights go down to be first class."" CANNOTANSWER\n question: When was the greatest hits collection released?",Answer the question based on the context below. ,in October 2004.
"context: The Wimbledon Championships, commonly known simply as Wimbledon, is the oldest tennis tournament in the world and is widely regarded as the most prestigious. It has been held at the All England Club in Wimbledon, London, since 1877 and is played on outdoor grass courts, with retractable roofs over the two main courts since 2019.\n question: What are the Wimbledon Championships?",Answer the question based on the context below. ,"The Wimbledon Championships, commonly known simply as Wimbledon, is the oldest tennis tournament in the world and is widely regarded as the most prestigious. It has been held at the All England Club in Wimbledon, London, since 1877 and is played on outdoor grass courts, with retractable roofs over the two main courts since 2019.

Wimbledon is one of the four Grand Slam tennis tournaments, the others being the Australian Open, the French Open, and the US Open. Wimbledon is the only major still played on grass, the traditional tennis playing surface. Also, it is the only Grand Slam that retains a night-time curfew, though matches can now continue until 11.00 pm under the lights.

The tournament traditionally takes place over two weeks in late June and early July, starting on the last Monday in June and culminating with the Ladies' and Gentlemen's Singles Finals, scheduled for the Saturday and Sunday at the end of the second week. Five major events are held each year, with additional junior and invitational competitions also taking place. In 2009, Wimbledon's Centre Court was fitted with a retractable roof to lessen the loss of playing time due to rain. A roof was operational over No. 1 Court from 2019, when a number of other improvements were made, including adding cushioned seating, a table and 10 independently operable cameras per court to capture the games.

Wimbledon traditions include a strict all-white dress code for competitors, and royal patronage. Strawberries and cream are traditionally consumed at the tournament. Unlike other tournaments, advertising is minimal and low key from official suppliers such as Slazenger and Rolex. The relationship with Slazenger is the world's longest-running sporting sponsorship, providing balls for the tournament since 1902.

Due to the COVID-19 pandemic, 2020 Wimbledon was cancelled, the first cancellation of the tournament since World War II. The rescheduled 134th edition was staged from 28 June 2021 to 11 July 2021, following from the 2020 cancellation. The 135th edition was played between 27 June 2022 and 10 July 2022, and regularly scheduled play occurred on the middle Sunday for the first time. It marks the centenary of the inaugural championships staged at the Centre Court. The ATP, ITF, and WTA did not award ranking points for the 2022 tournament, due to controversy over the tournament excluding players representing Russia and Belarus.

The 2023 Wimbledon Championships will be the 136th staging and will run from 3 July 2023 to 16 July 2023 and it will be the first event of King Charles III since the death of the former patron, Queen Elizabeth II on 8 September 2022."
"context: The Seahawks' CenturyLink Field has hosted NFL playoff games in 2006, 2008, 2011, 2014 and 2015. The Seahawks have advanced to the Super Bowl three times: 2005, 2013 and 2014. They defeated the Denver Broncos 43-8 to win their first Super Bowl championship in Super Bowl XLVIII, but lost 24-28 against the New England Patriots in Super Bowl XLIX. Seattle Sounders FC has played in Major League Soccer since 2009, sharing CenturyLink Field with the Seahawks, as a continuation of earlier teams in the lower divisions of American soccer. The Sounders have not won the MLS Cup but have, however, won the MLS Supporters' Shield in 2014 and the Lamar Hunt U.S. Open Cup on four occasions: 2009, 2010, 2011, and 2014.\n question: How many times have the Seattle Seahawks played in the World Series?",Answer the question based on the context below. ,three
"context: Some archaeological data suggests archaic humans passed through Tibet at the time India was first inhabited, half a million years ago.[1] Modern humans first inhabited the Tibetan Plateau at least twenty-one thousand years ago.[2] This population was largely replaced around 3000 BC by Neolithic immigrants from northern China. However, there is a ""partial genetic continuity between the Paleolithic inhabitants and the contemporary Tibetan populations"".[2]\n question: How old is Tibet?",Answer the question based on the context below. ,twenty-one thousand years ago
"context: During the Gorbachev era of the 1980s, with the reforms of Glasnost and Perestroika, Armenians began to demand better environmental care for their country, opposing the pollution that Soviet-built factories brought. Tensions also developed between Soviet Azerbaijan and its autonomous district of Nagorno-Karabakh, a majority-Armenian region separated by Stalin from Armenia in 1923. About 484,000 Armenians lived in Azerbaijan in 1970. The Armenians of Karabakh demanded unification with Soviet Armenia. Peaceful protests in Yerevan supporting the Karabakh Armenians were met with anti-Armenian pogroms in the Azerbaijani city of Sumgait. Compounding Armenia's problems was a devastating earthquake in 1988 with a moment magnitude of 7.2.\n question: How man Armenians resided in Azerbaijan in 1970?",Answer the question based on the context below. ,"4,84,000"
"context: It is caused by acquired damage to the anterior regions of the brain, such as the left posterior inferior frontal gyrus or inferior frontal operculum, also described as Broca's area (Brodmann area 44 and Brodmann area 45).[6] It is one subset of a larger family of disorders known collectively as aphasia. Expressive aphasia contrasts with receptive aphasia, in which patients are able to speak in grammatical sentences that lack semantic significance, and generally also have trouble with comprehension.[3][7] Expressive aphasia differs from dysarthria, which is typified by a patient's inability to properly move the muscles of the tongue and mouth to produce speech. Expressive aphasia also differs from apraxia of speech which is a motor disorder characterized by an inability to create and sequence motor plans for speech.[8]\n question: What is the number one cause of Broca's aphasia?",Answer the question based on the context below. ,acquired damage to the anterior regions of the brain
"context: The family lived on a thousand square-mile (2,600 km2) ranch called the Ponderosa on the eastern shore of Lake Tahoe in Nevada opposite California on the edge of the Sierra Nevada range].[10] The vast size of the Cartwrights' land was quietly revised to ""half a million acres"" (2,000 km2) on Lorne Greene's 1964 song, ""Saga of the Ponderosa."" The ranch name refers to the Ponderosa Pine, common in the West. The nearest town to the Ponderosa was Virginia City, where the Cartwrights would go to converse with Sheriff Roy Coffee (played by veteran actor Ray Teal), or his deputy Clem Foster (Bing Russell).\n question: Where does the series Bonanza take place?",Answer the question based on the context below. ,Ponderosa on the eastern shore of Lake Tahoe in Nevada opposite California on the edge of the Sierra Nevada range
context: \n question: Create three questions related to the spread of viruses.,Answer the question based on the context below. ,"1. What are the common ways that viruses spread? 
2. What are some preventive measures to reduce the spread of viruses?
3. How can we protect vulnerable populations from virus spread?"
context: \n question: Compare and contrast the culinary traditions of France and Italy.,Answer the question based on the context below. ,"France and Italy have different culinary traditions. The French cuisine is renowned for its emphasis on fresh ingredients, particularly dairy, loaves, and pastries. Italian cuisine is known for its emphasis on pasta, seafood, and olive oil. Both countries use spices such as oregano and basil, but the French also use savory spices such as thyme, while Italian cooking also includes many sweet spices such as cinnamon and nutmeg. French cuisine also includes a great variety of cheeses, while Italian cuisine includes a wide variety of vegetables and proteins."
"context: For the next thirty years, James recorded nothing and performed sporadically. He was virtually unknown to listeners until about 1960. In 1964, blues enthusiasts John Fahey, Bill Barth, and Henry Vestine found him in a hospital in Tunica, Mississippi. According to Calt, the ""rediscovery"" of both James and Son House at virtually the same time was the start of the blues revival in the United States. In July 1964 James and other rediscovered musicians appeared at the Newport Folk Festival. Several photographs by the blues promoter Dick Waterman captured this performance, James's first in over 30 years. After that James recorded for Takoma Records, Melodeon Records, and Vanguard Records and performed at various engagements until his death in 1969.  More of James's recordings have been available since his death than were available during his lifetime. His 1931 recordings and several of his recordings and concerts from the 1960s have been reissued on numerous compact discs, in and out of print. His songs were not initially recorded as frequently as those of other rediscovered blues musicians. However, the British rock band Cream recorded ""I'm So Glad"", providing James with the only windfall of his career. Subsequently, Cream's adaptation was recorded by other groups. James' ""22-20"" inspired for the name for the English group 22-20s and the British post-rock band Hope of the States released a song partially about the life of James, entitled ""Nehemiah"", which reached number 30 on the UK Singles Chart.  In 2004, Wim Wenders directed the film The Soul of a Man (the second part of The Blues, a series produced by Martin Scorsese), focusing on the music of Blind Willie Johnson, J.B. Lenoir and James. Because James had not been not filmed before the 1960s, Keith B. Brown played the part of the young James in the documentary. CANNOTANSWER\n question: when was he redicovered?",Answer the question based on the context below. ,He was virtually unknown to listeners until about 1960.
"context: Policing in Greater London, with the exception of the City of London, is provided by the Metropolitan Police Service, overseen by the Mayor through the Mayor's Office for Policing and Crime (MOPAC). The City of London has its own police force – the City of London Police. The British Transport Police are responsible for police services on National Rail, London Underground, Docklands Light Railway and Tramlink services. A fourth police force in London, the Ministry of Defence Police, do not generally become involved with policing the general public.\n question: Which police force in London does not typically engage in police activity with the general public?",Answer the question based on the context below. ,the Ministry of Defence Police
"context: Cisco Systems, Inc., commonly known as Cisco, is an American-based multinational digital communications technology conglomerate corporation headquartered in San Jose, California. Cisco develops, manufactures, and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security, videoconferencing, and energy management with leading products including Webex, OpenDNS, Jabber, Duo Security, and Jasper. Cisco is one of the largest technology companies in the world ranking 74 on the Fortune 100 with over $51 billion in revenue and nearly 80,000 employees.\n question: What is Cisco's formal company name, where is their headquarters, and how many employees are there in the company?",Answer the question based on the context below. ,"Cisco Systems, Inc. is located in San Jose, California and has nearly 80,000 employees."
"context: Cousineau attended Ohio State University, where he played for legendary coach Woody Hayes' Ohio State Buckeyes football team from 1975 to 1978. During that span, Ohio State had an overall record of 36-10-2 and 28-4 in the Big Ten, were three-time Big Ten champs. The Buckeyes played four bowl games after each of the seasons he played: in the Rose Bowl, Orange Bowl, Sugar Bowl and Gator Bowl. They were a Top 5 team for 36 weeks over these four years and the No. 1 team in the nation for eight weeks in 1975, and ultimately finished fourth, sixth and 12th in the final Associated Press polls in 1975, 1976 and 1977, respectively.  Cousineau majored in marketing. It is rumored that he frequently ate Ken Boock's lunch while attending Ohio State. He was a consensus first-team All-American, breaking the school record with 211 tackles in a single season in 1978, an average of 17.5 a game. He also broke the school record for most tackles in a game with 29 against Penn State in 1978, and was the MVP of the 1977 Orange Bowl.  Cousineau's last game for the Buckeyes was the infamous 1978 Gator Bowl against Clemson, during which Coach Hayes punched Clemson linebacker Charlie Bauman in the final minutes of the game. Hayes was fired the following day for the incident.  Cousineau still holds many of Ohio State's tackling records. As of 2016, he holds six of the top 10 single-game tackling records, 29 single-game tackles (since tied by fellow College Football Hall of Famer Chris Spielman), most solo tackles in a single game, (16 against SMU in 1978). He also ranks second on both the all-time OSU tackle list with 569 (three behind Marcus Marek) and on the career solo tackles list with 259.  He was named an All-American in 1977 and 1978. The Chicago Tribune named him the MVP of the Big Ten in 1978. He graduated from OSU in 1979. In 2016, he became the 25th Ohio State player, along with seven Buckeye coaches, to be named to the College Football Hall of Fame. CANNOTANSWER\n question: What college did Tom Cousineau go to?",Answer the question based on the context below. ,"Ohio State University,"
"context: Since 2003, Bonds has been a key figure in the Bay Area Laboratory Co-operative (BALCO) scandal. BALCO marketed tetrahydrogestrinone (""the Clear""), a performance-enhancing anabolic steroid that was undetectable by doping tests. He was under investigation by a federal grand jury regarding his testimony in the BALCO case, and was indicted on perjury and obstruction of justice charges on November 15, 2007. The indictment alleges that Bonds lied while under oath about his alleged use of steroids.  In 2003, Bonds first became embroiled in a scandal when Greg Anderson of the Bay Area Laboratory Co-operative (BALCO), Bonds's trainer since 2000, was indicted by a federal grand jury in the United States District Court for the Northern District of California and charged with supplying anabolic steroids to athletes, including a number of baseball players. This led to speculation that Bonds had used performance-enhancing drugs during a time when there was no mandatory testing in Major League Baseball. Bonds declared his innocence, attributing his changed physique and increased power to a strict regimen of bodybuilding, diet, and legitimate supplements.  During grand jury testimony on December 4, 2003, Bonds said that he used a clear substance and a cream that he received from his personal strength trainer, Greg Anderson, who told him they were the nutritional supplement flaxseed oil and a rubbing balm for arthritis. This testimony, as reported by Lance Williams and Mark Fainaru-Wada, has frequently been misrepresented. Later reports on Bonds's leaked grand-jury testimony contend that he admitted to unknowingly using ""the cream"" and ""the clear"".  In July 2005, all four defendants in the BALCO steroid scandal trial, including Anderson, struck deals with federal prosecutors that did not require them to reveal names of athletes who may have used banned drugs. CANNOTANSWER\n question: What was the BALCO Scandal?",Answer the question based on the context below. ,"BALCO marketed tetrahydrogestrinone (""the Clear""), a performance-enhancing anabolic steroid that was undetectable by doping tests."
"context: Hunter had a 1957 hit record with the song ""Young Love,"" which was No. 1 on the Billboard Hot 100 chart for six weeks (seven weeks on the UK Chart) and became one of the larger hits of the Rock 'n' Roll era. It sold over one million copies, and was awarded a gold disc by the RIAA.  He had the hit, ""Ninety-Nine Ways,"" which peaked at No. 11 in the US and No. 5 in the UK. His success prompted Jack L. Warner to enforce the actor's contract with the Warner Bros. studio by banning Dot Records, the label for which Hunter had recorded the single (and which was owned by rival Paramount Pictures), from releasing a follow-up album he had recorded for them. He established Warner Bros. Records specifically for Hunter.  Hunter's acting career was also at its zenith. William Wellman used him again in a war film, Lafayette Escadrille (1958). Columbia Pictures borrowed him for a Western, Gunman's Walk (1958), a film that Hunter considers his favorite role.  Hunter starred in the 1958 musical film Damn Yankees, in which he played Joe Hardy of Washington, D.C.'s American League baseball club. The film had originally been a Broadway show, but Hunter was the only one in the film version who had not appeared in the original cast. The show was based on the 1954 best-selling book The Year the Yankees Lost the Pennant by Douglass Wallop. Hunter later said the filming was hellish because director George Abbott was only interested in recreating the stage version word for word.  He also starred in They Came to Cordura (1959), with Gary Cooper and Rita Hayworth. Sidney Lumet starred him opposite Sophia Loren in That Kind of Woman (1959). CANNOTANSWER\n question: Was Tab Hunter part of a band?",Answer the question based on the context below. ,CANNOTANSWER
context: \n question: Design a survey to collect demographic data.,Answer the question based on the context below. ,"The survey should include questions about age, gender, ethnicity, educational level, marital status, occupation, income level, and geographic location. These questions should be specific enough to collect the desired information, but not too invasive. The survey should also include a few open-ended questions so that respondents can provide more detailed information about their backgrounds."
context: \n question: List three examples of mythological creatures.,Answer the question based on the context below. ,"Three examples of mythological creatures are dragons, centaurs, and mermaids."
context: \n question: Select the word or phrase that is most closely related to the following: Unavailable,Answer the question based on the context below. ,Inaccessible
context: \n question: Describe the effects of a drowning person.,Answer the question based on the context below. ,"Drowning typically leads to panic, confusion, and difficulty breathing, as well as unconsciousness, heart arrhythmia, brain damage, and potentially death if not intervened quickly."
"context: Edward M. Gramlich (June 18, 1939 – September 5, 2007) was an American economist who served as a member of the Federal Reserve Board of Governors from 1997 to 2005. Gramlich was also an acting director of the Congressional Budget Office.

Gramlich graduated from Williams College in 1961 and received a master's degree in 1962 and a Ph.D. in economics in 1965 from Yale University. He joined the Federal Reserve as a research economist from 1965 to 1970, and was a senior fellow at the Brookings Institution from 1973 to 1976. He then taught economics and public policy at the University of Michigan from 1976 to 1997, including a term as dean of the Gerald R. Ford School of Public Policy, and returned to Michigan as a professor in 2005.\n question: Who was Edward Gramlich",Answer the question based on the context below. ,"Edward M. Gramlich (June 18, 1939 – September 5, 2007) was an American economist who served as a member of the Federal Reserve Board of Governors from 1997 to 2005. Gramlich was also an acting director of the Congressional Budget Office."
"context: An important early work of Le Corbusier was the Esprit Nouveau Pavilion, built for the 1925 Paris International Exhibition of Modern Decorative and Industrial Arts, the event which later gave Art Deco its name. Le Corbusier built the pavilion in collaboration with Amedee Ozenfant and with his cousin Pierre Jeanneret. Le Corbusier and Ozenfant had broken with Cubism and formed the Purism movement in 1918 and in 1920 founded their journal L'Esprit Nouveau in 1920. In his new journal, Le Corbusier vividly denounced the decorative arts: ""Decorative Art, as opposed to the machine phenomenon, is the final twitch of the old manual modes, a dying thing."" To illustrate his ideas, he and Ozenfant decided to create small pavilion at the Exposition, representing his idea of the future urban housing unit. A house, he wrote, ""is a cell within the body of a city. The cell is made up of the vital elements which are the mechanics of a house...Decorative art is antistandarizational. Our pavilion will contain only standard things created by industry in factories and mass produced, objects truly of the style of today...my pavilion will therefore be a cell extracted from a huge apartment building."".  Le Corbusier and his collaborators were given a plot of land located behind the Grand Palais in the center of the Exposition. The plot was forested, and exhibitors could not cut down trees, so Le Corbusier built his pavilion with a tree in the center, emerging through a hole in the roof. The building was a stark white box with an interior terrace and square glass windows. The interior was decorated with a few cubist paintings and with a few pieces of mass-produced commercially available furniture, entirely different from the expensive, one-of-a-kind pieces in the other pavilions. The chief organizers of the Exposition were furious, and built a fence to partially hide the pavilion. Le Corbusier had to appeal to the Ministry of Fine Arts, which ordered that fence be taken down.  Besides the furniture, the pavilion exhibited a model of his ""Plan Voisin"" his provocative plan for rebuilding a large part of the centre of Paris. He proposed to bulldoze a large area north of the Seine and replace the narrow streets, monuments and houses with giant sixty-story cruciform towers placed within an orthogonal street grid and park-like green space. His scheme was met with criticism and scorn from French politicians and industrialists, although they were favorable to the ideas of Taylorism and Fordism underlying his designs. The plan was never seriously considered, but it provoked discussion concerning how to deal with the overcrowded poor working-class neighborhoods of Paris, and it later saw partial realization in the housing developments built in the Paris suburbs in the 1950s and 1960s.  The Pavilion was ridiculed by many critics, but Le Corbusier, undaunted, wrote: ""Right now one thing is sure. 1925 marks the decisive turning point in the quarrel between the old and new. After 1925, the antique-lovers will have virtually ended their lives...Progress is achieved through experimentation; the decision will be awarded on the field of battle of the ""new"". CANNOTANSWER\n question: What was the Pavilion?",Answer the question based on the context below. ,"An important early work of Le Corbusier was the Esprit Nouveau Pavilion,"
